Point_Number,Femur_Pos_X_mm,Femur_Pos_Y_mm,Femur_Pos_Z_mm,Femur_Rot_W,Femur_Rot_X,Femur_Rot_Y,Femur_Rot_Z,Stylus_Pos_X_mm,Stylus_Pos_Y_mm,Stylus_Pos_Z_mm
L1,364.510,-110.883,161.251,0.120481,-0.494558,0.836771,-0.201771,286.807,-8.859,266.940
L2,364.487,-110.827,161.287,0.120033,-0.494584,0.836772,-0.201969,293.905,-26.498,254.812
L3,364.718,-110.742,161.187,0.118767,-0.494852,0.836578,-0.202865,296.049,-29.856,253.905
L4,364.641,-110.719,161.158,0.118758,-0.494901,0.836548,-0.202871,309.617,-42.698,252.831
L5,364.649,-110.771,161.209,0.118918,-0.494605,0.836689,-0.202918,311.290,-43.489,253.489
L6,364.696,-110.754,161.128,0.118899,-0.494746,0.836595,-0.202976,323.651,-50.746,266.025
L7,364.681,-110.802,161.276,0.119179,-0.494355,0.836816,-0.202850,324.362,-51.164,267.477
L8,364.727,-110.795,161.261,0.119136,-0.494375,0.836844,-0.202713,326.529,-46.775,276.011
L9,364.668,-110.849,161.378,0.119507,-0.493968,0.837047,-0.202648,325.711,-46.807,278.041
L10,364.495,-110.812,161.367,0.120246,-0.494251,0.836827,-0.202429,324.624,-29.582,286.875
M1,391.632,-35.754,136.630,0.796461,0.467318,-0.167605,-0.345213,345.540,-26.210,290.140
M2,391.647,-35.704,136.641,0.796171,0.467402,-0.167370,-0.345881,349.140,-33.882,282.633
M3,391.032,-35.680,136.267,0.796123,0.465855,-0.169605,-0.346990,348.803,-36.429,278.886
M4,390.391,-35.585,135.904,0.795512,0.464680,-0.171747,-0.348907,343.431,-48.875,265.446
M5,387.517,-35.130,134.266,0.792786,0.460397,-0.181581,-0.355743,341.985,-49.746,262.802
M6,389.389,-35.219,135.094,0.793467,0.464373,-0.177066,-0.351306,325.454,-54.956,257.892
M7,389.648,-35.563,135.322,0.794743,0.463093,-0.174543,-0.351372,323.488,-54.171,257.528
M8,391.540,-35.211,136.116,0.795427,0.467702,-0.168197,-0.346787,315.843,-54.449,259.893
M9,391.568,-35.355,136.223,0.795589,0.467520,-0.167803,-0.346851,313.316,-53.793,261.259
M10,393.952,-35.344,137.555,0.797464,0.472075,-0.158431,-0.340729,304.249,-40.630,273.686
